timestamp,tx,ty,tz
1700283003.4695446,11.259528,-24.903961,12.784017
1700283003.5695446,11.196649,-24.940926,12.786626
1700283003.6695445,11.140448,-24.971165,12.788473
1700283003.7695444,11.085893,-24.999336,12.79018
1700283003.8695445,11.033351,-25.025454,12.791905
1700283003.9695442,10.990338,-25.046396,12.793711
1700283004.069544,10.947541,-25.06726,12.795508
1700283004.169544,10.90291,-25.0881,12.797284
1700283004.269544,10.856692,-25.107456,12.799068
1700283004.3695438,10.816131,-25.123344,12.800863
1700283004.4695437,10.786788,-25.132835,12.802724
1700283004.5695436,10.757586,-25.142307,12.804572
1700283004.6695435,10.726678,-25.150782,12.806439
1700283004.7695434,10.68961,-25.157867,12.808185
1700283004.8695433,10.646084,-25.161055,12.808783
1700283004.9695432,10.610126,-25.15078,12.808894
1700283005.0695431,10.573981,-25.139885,12.808987
1700283005.169543,10.538034,-25.129074,12.80908
1700283005.269543,10.497837,-25.119087,12.809016
1700283005.3695428,10.467474,-25.10061,12.809039
1700283005.4695427,10.451166,-25.07057,12.809228
1700283005.5695426,10.4332075,-25.041271,12.809429
1700283005.6695426,10.41536,-25.01217,12.809628
1700283005.7695425,10.397622,-24.983269,12.809826
1700283005.8695424,10.379993,-24.954563,12.810022
1700283005.9695425,10.362473,-24.92605,12.810217
1700283006.0695422,10.345059,-24.89773,12.810411
1700283006.169542,10.327728,-24.869677,12.810602
1700283006.269542,10.30898,-24.844414,12.810673
1700283006.369542,10.298491,-24.822004,12.810339
1700283006.4695418,10.289155,-24.800112,12.809954
1700283006.5695417,10.28098,-24.77956,12.809503
1700283006.6695416,10.272856,-24.75915,12.809053
1700283006.7695415,10.264782,-24.738876,12.808609
1700283006.8695414,10.256757,-24.71874,12.808166
1700283006.9695413,10.248781,-24.69874,12.807725
1700283007.0695412,10.240854,-24.678873,12.807288
1700283007.1695411,10.232975,-24.659138,12.806853
1700283007.269541,10.225141,-24.63953,12.80642
1700283007.369541,10.217354,-24.620047,12.805991
1700283007.4695408,10.209611,-24.600687,12.805564
1700283007.5695407,10.201912,-24.58145,12.805139
1700283007.6695406,10.194257,-24.56233,12.804717
1700283007.7695403,10.184549,-24.546778,12.804039
1700283007.8695405,10.174486,-24.531998,12.803313
1700283007.9695404,10.164475,-24.517313,12.802593
1700283008.0695405,10.154514,-24.502718,12.801875
1700283008.1695402,10.144603,-24.488216,12.801161
1700283008.26954,10.135389,-24.474142,12.800477
1700283008.36954,10.127653,-24.461502,12.799858
1700283008.46954,10.119951,-24.448938,12.799241
1700283008.5695398,10.112282,-24.43645,12.798629
1700283008.6695397,10.104646,-24.424032,12.798018
1700283008.7695396,10.097043,-24.411692,12.79741
1700283008.8695395,10.089472,-24.39942,12.796804
1700283008.9695394,10.081928,-24.387217,12.796203
1700283009.0695393,10.074417,-24.37508,12.795601
1700283009.1695392,10.0669365,-24.363008,12.795003
1700283009.269539,10.059484,-24.351002,12.794408
1700283009.369539,10.052678,-24.338417,12.793827
1700283009.469539,10.046756,-24.325012,12.793263
1700283009.5695388,10.040857,-24.311666,12.792703
1700283009.6695387,10.034983,-24.298384,12.792144
1700283009.7695386,10.029131,-24.285158,12.791587
1700283009.8695383,10.0233,-24.271992,12.791033
1700283009.9695385,10.017492,-24.258883,12.790479
1700283010.0695384,10.011706,-24.245827,12.789928
1700283010.1695385,10.0059395,-24.232824,12.789379
1700283010.2695382,10.000387,-24.22228,12.788937
1700283010.369538,9.995038,-24.214071,12.788591
1700283010.469538,9.989707,-24.205894,12.78825
1700283010.569538,9.984393,-24.197754,12.787908
1700283010.6695378,9.979097,-24.189644,12.787567
1700283010.7695377,9.973817,-24.181568,12.787229
1700283010.8695376,9.968554,-24.173525,12.786889
1700283010.9695375,9.964612,-24.164377,12.786587
1700283011.0695374,9.963533,-24.1528,12.786361
1700283011.1695373,9.96246,-24.141254,12.786135
1700283011.2695372,9.961393,-24.129747,12.785909
1700283011.369537,9.96033,-24.118277,12.785685
1700283011.469537,9.959275,-24.106838,12.785461
1700283011.569537,9.958224,-24.095432,12.785236
1700283011.6695368,9.957178,-24.084063,12.785015
1700283011.7695367,9.956137,-24.072718,12.784792
1700283011.8695366,9.955101,-24.061407,12.784571
1700283011.9695363,9.954069,-24.050123,12.7843485
1700283012.0695364,9.953042,-24.038868,12.784127
1700283012.1695364,9.95202,-24.027643,12.783907
1700283012.2695365,9.951,-24.016447,12.783687
1700283012.3695362,9.949986,-24.005274,12.783468
1700283012.469536,9.948976,-23.994127,12.783249
1700283012.569536,9.9479685,-23.983004,12.7830305
1700283012.669536,9.946965,-23.971909,12.782812
1700283012.7695358,9.945966,-23.960833,12.782593
1700283012.8695357,9.944971,-23.949781,12.782376
1700283012.9695356,9.943977,-23.938751,12.782159
1700283013.0695355,9.942988,-23.927744,12.781942
1700283013.1695354,9.942002,-23.916758,12.781726
1700283013.2695353,9.941019,-23.90579,12.781509
1700283013.3695352,9.940039,-23.894844,12.781294
1700283013.469535,9.939061,-23.883915,12.781078
1700283013.569535,9.9380865,-23.873007,12.780864
1700283013.669535,9.937115,-23.862114,12.780647
1700283013.7695348,9.936145,-23.85124,12.780434
1700283013.8695347,9.935179,-23.840382,12.780219
1700283013.9695346,9.934214,-23.82954,12.780006
1700283014.0695343,9.93325,-23.818714,12.779792
1700283014.1695344,9.932291,-23.807903,12.779579
1700283014.2695343,9.931333,-23.797108,12.779365
1700283014.3695345,9.930376,-23.786325,12.779151
1700283014.4695342,9.929422,-23.775557,12.778938
1700283014.569534,9.928472,-23.764803,12.778727
1700283014.669534,9.927521,-23.754063,12.778514
1700283014.769534,9.926573,-23.743332,12.778302
1700283014.8695338,9.925626,-23.732615,12.77809
1700283014.9695337,9.924681,-23.72191,12.777878
1700283015.0695336,9.923738,-23.711216,12.777667
1700283015.1695335,9.922795,-23.700533,12.777455
1700283015.2695334,9.921854,-23.689861,12.777244
1700283015.3695333,9.920915,-23.679197,12.777034
1700283015.4695332,9.919976,-23.668543,12.776822
1700283015.569533,9.919041,-23.657898,12.776612
1700283015.669533,9.918104,-23.647263,12.776401
1700283015.769533,9.919088,-23.63489,12.77625
1700283015.8695328,9.920424,-23.622204,12.77611
1700283015.9695327,9.92176,-23.609526,12.77597
1700283016.0695326,9.923095,-23.59686,12.77583
1700283016.1695323,9.92443,-23.584202,12.775691
1700283016.2695324,9.925763,-23.571552,12.77555
1700283016.3695323,9.927097,-23.55891,12.775412
1700283016.4695325,9.92843,-23.546276,12.77527
1700283016.5695322,9.929764,-23.533648,12.775131
1700283016.669532,9.931096,-23.521027,12.774993
1700283016.769532,9.932427,-23.508411,12.774854
1700283016.869532,9.933761,-23.495802,12.7747135
1700283016.9695318,9.935091,-23.483198,12.774574
1700283017.0695317,9.936422,-23.470602,12.774435
1700283017.1695316,9.9377575,-23.457312,12.774301
1700283017.2695315,9.939117,-23.44066,12.774181
1700283017.3695314,9.940477,-23.424011,12.774063
1700283017.4695313,9.941837,-23.407373,12.773944
1700283017.5695312,9.942696,-23.390368,12.773825
1700283017.669531,9.943508,-23.373327,12.773705
1700283017.769531,9.944926,-23.355373,12.773617
1700283017.869531,9.946348,-23.337418,12.773528
1700283017.9695308,9.94777,-23.319468,12.773438
1700283018.0695307,9.94919,-23.301521,12.77335
1700283018.1695306,9.950611,-23.283579,12.77326
1700283018.2695303,9.95203,-23.265638,12.773171
1700283018.3695304,9.953451,-23.247704,12.773084
1700283018.4695303,9.954871,-23.22977,12.772994
1700283018.5695302,9.956289,-23.21184,12.772905
1700283018.6695302,9.957709,-23.19391,12.772817
1700283018.76953,9.959127,-23.175987,12.772727
1700283018.86953,9.960546,-23.158064,12.772638
1700283018.96953,9.961964,-23.140142,12.772551
1700283019.0695298,9.963383,-23.122221,12.772462
1700283019.1695297,9.9648,-23.104303,12.772372
1700283019.2695296,9.966218,-23.086384,12.772284
1700283019.3695295,9.967635,-23.068468,12.772196
1700283019.4695294,9.969052,-23.050552,12.772107
1700283019.5695293,9.970469,-23.032633,12.7720175
1700283019.6695292,9.971886,-23.014719,12.771929
1700283019.769529,9.973302,-22.996801,12.771841
1700283019.869529,9.974717,-22.978888,12.771752
1700283019.969529,9.976133,-22.960972,12.771663
1700283020.0695288,9.977543,-22.942629,12.77158
1700283020.1695287,9.978951,-22.924213,12.771499
1700283020.2695286,9.980358,-22.9058,12.771418
1700283020.3695283,9.981767,-22.887386,12.771335
1700283020.4695284,9.983172,-22.868969,12.771254
1700283020.5695283,9.98458,-22.850552,12.771173
1700283020.6695282,9.985986,-22.832136,12.7710905
1700283020.7695282,9.987394,-22.813715,12.771009
1700283020.869528,9.9888,-22.795292,12.770928
1700283020.969528,9.990206,-22.77687,12.770845
1700283021.069528,9.9916115,-22.758444,12.770764
1700283021.1695278,9.993018,-22.740017,12.770683
1700283021.2695277,9.994424,-22.72159,12.7706
1700283021.3695276,9.995829,-22.703157,12.770519
1700283021.4695275,9.997233,-22.684723,12.770437
1700283021.5695274,9.998639,-22.666286,12.770356
1700283021.6695273,10.000044,-22.64785,12.770275
1700283021.7695272,10.001448,-22.629408,12.770192
1700283021.869527,10.0028515,-22.610964,12.770111
1700283021.969527,10.004256,-22.592514,12.770028
1700283022.069527,10.005659,-22.574068,12.769947
1700283022.1695268,10.007063,-22.555616,12.769865
1700283022.2695267,10.008466,-22.53716,12.769784
1700283022.3695266,10.00987,-22.5187,12.769701
1700283022.4695263,10.011272,-22.500237,12.76962
1700283022.5695264,10.012675,-22.48177,12.769537
1700283022.6695263,10.014078,-22.463299,12.769456
1700283022.7695262,10.01548,-22.444828,12.769374
1700283022.869526,10.016883,-22.426348,12.769291
1700283022.969526,10.018285,-22.407867,12.76921
1700283023.069526,10.019688,-22.389383,12.769128
1700283023.169526,10.021089,-22.370893,12.769047
1700283023.2695258,10.02249,-22.3524,12.768964
1700283023.3695257,10.0238905,-22.333904,12.768881
1700283023.4695256,10.025292,-22.315401,12.7688
1700283023.5695257,10.026692,-22.296896,12.768718
1700283023.6695254,10.028094,-22.278387,12.768635
1700283023.7695253,10.029493,-22.259872,12.768553
1700283023.8695252,10.030895,-22.241354,12.768472
1700283023.969525,10.032295,-22.22283,12.768389
1700283024.069525,10.033695,-22.204304,12.768306
1700283024.169525,10.035094,-22.185772,12.768224
1700283024.2695248,10.036493,-22.167234,12.768143
1700283024.3695247,10.037892,-22.148695,12.76806
1700283024.4695246,10.039291,-22.13015,12.767978
1700283024.5695243,10.04069,-22.111599,12.767895
1700283024.6695244,10.0420885,-22.093044,12.767812
1700283024.7695243,10.0434885,-22.074482,12.76773
1700283024.8695242,10.044887,-22.055918,12.767647
1700283024.969524,10.046286,-22.037348,12.767565
1700283025.069524,10.047683,-22.018774,12.767482
1700283025.169524,10.049081,-22.000195,12.7674
1700283025.269524,10.050478,-21.98161,12.767318
1700283025.3695238,10.051876,-21.96302,12.767236
